Age,AnnualIncome,CreditScore,EmploymentStatus,Experience,LoanAmount,LoanDuration,HomeOwnershipStatus,CreditUtilization,DebtToIncome,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,MonthlyIncome,UtilityPaymentScore,JobTenure,NetWorth,InterestRate,LoanApproved,NewLoanApproved,RiskScore
45,39948,617,Employed,22,13152,48,Own,35%,36%,0,Home,0,29,9,7632,3329,72.5,11,126928,22.76,0,Rejected,49
38,39709,628,Employed,15,26045,48,Mortgage,9%,33%,0,Debt Consolidation,0,21,9,4627,3309.08,93.51,3,43609,20.11,0,Rejected,52
47,40724,570,Employed,26,17627,36,Rent,14%,24%,0,Education,0,20,22,886,3393.67,87.22,6,5205,21.25,0,Rejected,52
58,69084,545,Employed,34,37898,96,Mortgage,27%,44%,0,Home,0,27,10,1675,5757,89.62,5,99452,30.09,0,Rejected,54
37,103264,594,Employed,17,9184,36,Mortgage,32%,8%,0,Debt Consolidation,0,26,27,1555,8605.33,94.14,5,227019,17.6,1,Approved,36
37,178310,626,Self-Employed,16,15433,72,Rent,10%,26%,0,Debt Consolidation,1,16,19,2118,14859.17,75.61,5,27071,21.76,1,Approved,44
58,51250,564,Employed,39,12741,48,Rent,37%,13%,0,Other,0,21,18,5161,4270.83,88.43,5,21730,20.53,0,Rejected,50
49,97345,516,Employed,23,19634,12,Mortgage,21%,40%,0,Other,0,19,11,781,8112.08,93.35,5,38621,20.91,1,Approved,42
34,116841,603,Employed,12,55353,60,Own,19%,31%,1,Debt Consolidation,0,25,29,1157,9736.75,72.84,3,7711,29.15,0,Rejected,61
46,40615,612,Employed,19,25443,12,Other,51%,51%,0,Other,0,23,10,1028,3384.58,61.53,3,116812,19.73,0,Rejected,53
34,73646,478,Employed,10,48716,84,Own,21%,8%,0,Auto,0,25,7,9266,6137.17,67.84,4,128651,33.35,0,Rejected,47
34,15000,591,Employed,11,30088,24,Mortgage,31%,35%,0,Home,0,21,28,259,1250,84.2,3,29709,18.24,0,Rejected,56
42,74453,573,Employed,21,16154,60,Rent,53%,37%,0,Debt Consolidation,0,26,7,781,6204.42,71.89,5,5231,25.57,0,Rejected,56
18,100508,580,Employed,0,20439,60,Rent,17%,58%,0,Other,1,20,3,2027,8375.67,54.37,6,82783,24.54,0,Rejected,63
19,47624,597,Employed,0,27197,36,Mortgage,11%,75%,0,Debt Consolidation,0,15,21,2971,3968.67,71.99,3,35918,20.22,0,Rejected,58
33,56650,605,Employed,11,12652,36,Mortgage,42%,4%,0,Auto,0,21,15,242,4720.83,83.72,2,250291,21.64,1,Approved,34
27,50042,582,Employed,7,19105,60,Rent,10%,31%,0,Debt Consolidation,0,36,14,2214,4170.17,92.09,5,7021,18.71,0,Rejected,53
43,142326,644,Employed,24,13499,96,Mortgage,22%,30%,0,Other,0,18,2,13247,11860.5,97.11,5,69623,22.38,1,Approved,39
29,16021,553,Employed,8,14655,72,Rent,56%,10%,0,Debt Consolidation,1,25,12,8651,1335.08,94.92,4,3933,23.48,0,Rejected,59
23,34698,594,Employed,0,14314,60,Mortgage,19%,10%,0,Debt Consolidation,0,27,29,3721,2891.5,87.41,5,55430,23.15,0,Rejected,48
57,106749,630,Employed,30,15698,48,Rent,13%,15%,0,Auto,0,21,14,1686,8895.75,85.44,4,204416,20.44,1,Approved,33
